iter	Passed	Remaining
0	1	101
1	1	94
2	2	95
3	3	90
4	4	92
5	5	92
6	7	94
7	8	92
8	9	91
9	9	89
10	11	89
11	12	88
12	13	87
13	14	87
14	15	86
15	16	85
16	17	85
17	18	84
18	19	84
19	20	83
20	21	81
21	22	80
22	23	79
23	24	78
24	25	77
25	26	76
26	28	75
27	29	74
28	30	73
29	30	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	66
35	37	65
36	38	64
37	39	63
38	40	62
39	40	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	56	44
56	57	43
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	85	15
85	86	14
86	87	13
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	100	0
